audio_name,applied_effects,GA_effects,similarity_indv,best_fit
56.mp3,"{0: {'rate_hz': 6.85}, 3: {'gain_db': 9.2}, 5: {'wet_level': 0.26}}","{4: {'depth': 0.35}, 1: {'delay_seconds': 3.83}, 5: {'wet_level': 0.31}}",0.28431372549019607,
57.mp3,"{0: {'rate_hz': 10.03}, 1: {'delay_seconds': 4.7}, 3: {'gain_db': -2.96}, 5: {'wet_level': 0.34}, 2: {'drive_db': 4.76}}",{2: {'drive_db': 19.21}},0.010367454068241466,
58.mp3,"{0: {'rate_hz': 3.62}, 4: {'depth': 0.29}, 3: {'gain_db': -8.61}}","{4: {'depth': 0.32}, 1: {'delay_seconds': 1.86}, 3: {'gain_db': 6.05}, 5: {'wet_level': 0.43}}",0.3477043893968948,
59.mp3,"{0: {'rate_hz': 4.8}, 2: {'drive_db': 19.9}, 4: {'depth': 0.55}, 3: {'gain_db': 6.15}, 1: {'delay_seconds': 2.33}}","{1: {'delay_seconds': 2.29}, 2: {'drive_db': 14.02}, 5: {'wet_level': 0.33}, 3: {'gain_db': -3.73}, 4: {'depth': 0.6}}",0.5770549696051949,
60.mp3,{1: {'delay_seconds': 4.76}},{1: {'delay_seconds': 3.46}},0.7268907563025211,
61.mp3,"{1: {'delay_seconds': 2.43}, 5: {'wet_level': 0.45}, 4: {'depth': 0.54}, 2: {'drive_db': 3.81}}","{4: {'depth': 0.3}, 1: {'delay_seconds': 2.89}, 0: {'rate_hz': 8.47}}",0.34414180717682663,
62.mp3,{4: {'depth': 0.38}},"{5: {'wet_level': 0.24}, 3: {'gain_db': 0.49}, 0: {'rate_hz': 16.04}, 4: {'depth': 0.42}, 2: {'drive_db': 9.36}}",0.17894736842105263,
63.mp3,"{2: {'drive_db': 16.31}, 5: {'wet_level': 0.27}, 0: {'rate_hz': 15.64}, 1: {'delay_seconds': 1.13}}","{0: {'rate_hz': 14.16}, 1: {'delay_seconds': 1.62}}",0.4446889642274166,
64.mp3,"{1: {'delay_seconds': 1.94}, 2: {'drive_db': 9.36}}","{4: {'depth': 0.31}, 1: {'delay_seconds': 3.34}, 5: {'wet_level': 0.22}, 3: {'gain_db': -5.66}}",0.13562091503267976,
65.mp3,"{5: {'wet_level': 0.57}, 0: {'rate_hz': 2.4}, 1: {'delay_seconds': 2.05}}","{0: {'rate_hz': 15.83}, 1: {'delay_seconds': 2.3}, 3: {'gain_db': -2.4}, 5: {'wet_level': 0.27}, 4: {'depth': 0.23}}",0.32517405319925397,
